Date,Tungsten Price
2022-02-04,322.3901727052922
2022-02-05,322.50300926573857
2022-02-06,322.50300926573857
2022-02-07,322.3933955112645
2022-02-08,322.2452130952643
2022-02-09,322.3289516318592
2022-02-10,325.37614056408813
2022-02-11,325.3598789121883
2022-02-12,325.50303725890853
2022-02-13,325.50303725890853
2022-02-14,325.28184560389724
2022-02-15,325.45421912604104
2022-02-16,325.24609284555936
2022-02-17,330.318105774959
2022-02-18,330.3544244232021
2022-02-19,330.50308391419236
2022-02-20,330.50308391419236
2022-02-21,330.2883964564963
2022-02-22,330.4006597096833
2022-02-23,330.18610525314745
2022-02-24,332.1875244280991
2022-02-25,332.2074379565238
2022-02-26,332.5031025763053
2022-02-27,332.5031025763053
2022-02-28,332.3900899457216
2022-03-01,332.34357765902723
2022-03-02,332.4565586580935
2022-03-03,332.3734769203054
2022-03-04,332.37679939253564
2022-03-05,332.5031025763053
2022-03-06,332.5031025763053
2022-03-07,332.3535434817382
2022-03-08,332.1842057387961
2022-03-09,332.27715411150876
2022-03-10,332.2738336310986
2022-03-11,332.1875244280991
2022-03-12,337.5031492315887
2022-03-13,337.5031492315887
2022-03-14,337.3951827731001
2022-03-15,337.40192865299275
2022-03-16,337.34796916577005
2022-03-17,337.1794569529139
2022-03-18,337.43566209916764
2022-03-19,337.5031492315887
2022-03-20,337.5031492315887
2022-03-21,337.3378536832815
2022-03-22,337.23336254155424
2022-03-23,337.2839146870409
2022-03-24,340.3500197158862
2022-03-25,340.41466941071144
2022-03-26,340.5031772247574
2022-03-27,340.5031772247574
2022-03-28,340.4521094083452
2022-03-29,340.39425106441735
2022-03-30,340.2139953287278
2022-03-31,342.4484041422077
2022-04-01,342.3251867897411
2022-04-02,342.5031958868687
2022-04-03,342.5031958868687
2022-04-04,342.3422950082153
2022-04-05,342.1883825749019
2022-04-06,342.4004757441465
2022-04-07,342.2567710117428
2022-04-08,342.4484041422077
2022-04-09,344.5032145489822
2022-04-10,344.5032145489822
2022-04-11,344.2381511725823
2022-04-12,344.2519106542069
2022-04-13,344.31728321604805
2022-04-14,344.21063550880046
2022-04-15,344.2209533672213
2022-04-16,344.5032145489822
2022-04-17,344.5032145489822
2022-04-18,344.44121513025834
2022-04-19,344.42399702966594
2022-04-20,344.2691115531274
2022-04-21,344.3723530548209
2022-04-22,344.3138419359201
2022-04-24,339.5031678937006
2022-04-25,339.3267180003412
2022-04-26,339.3538521987338
